cx,cy,cz,w,ux_xy,ux_xz,ux_yy,ux_zz,ux_yz,uy_xy,uy_yz,uy_xx,uy_zz,uy_xz,uz_xz,uz_yz,uz_xx,uz_yy,uz_xy
-1,-1,-1,1/216,-1/12,-1/12,-1/24,-1/24,-1/8,-1/12,-1/12,-1/24,-1/24,-1/8,-1/12,-1/12,-1/24,-1/24,-1/8
-1,-1,0,1/54,-1/3,0,-1/6,1/12,0,-1/3,0,-1/6,1/12,0,1/6,1/6,0,0,0
-1,-1,1,1/216,-1/12,1/12,-1/24,-1/24,1/8,-1/12,1/12,-1/24,-1/24,1/8,-1/12,-1/12,1/24,1/24,1/8
-1,0,-1,1/54,0,-1/3,1/12,-1/6,0,1/6,1/6,0,0,0,-1/3,0,-1/6,1/12,0
-1,0,0,2/27,0,0,1/3,1/3,0,2/3,0,0,0,0,2/3,0,0,0,0
-1,0,1,1/54,0,1/3,1/12,-1/6,0,1/6,-1/6,0,0,0,-1/3,0,1/6,-1/12,0
-1,1,-1,1/216,1/12,-1/12,-1/24,-1/24,1/8,-1/12,-1/12,1/24,1/24,1/8,-1/12,1/12,-1/24,-1/24,1/8
-1,1,0,1/54,1/3,0,-1/6,1/12,0,-1/3,0,1/6,-1/12,0,1/6,-1/6,0,0,0
-1,1,1,1/216,1/12,1/12,-1/24,-1/24,-1/8,-1/12,1/12,1/24,1/24,-1/8,-1/12,1/12,1/24,1/24,-1/8
0,-1,-1,1/54,1/6,1/6,0,0,0,0,-1/3,1/12,-1/6,0,0,-1/3,1/12,-1/6,0
0,-1,0,2/27,2/3,0,0,0,0,0,0,1/3,1/3,0,0,2/3,0,0,0
0,-1,1,1/54,1/6,-1/6,0,0,0,0,1/3,1/12,-1/6,0,0,-1/3,-1/12,1/6,0
0,0,-1,2/27,0,2/3,0,0,0,0,2/3,0,0,0,0,0,1/3,1/3,0
0,0,0,8/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2/27,0,-2/3,0,0,0,0,-2/3,0,0,0,0,0,-1/3,-1/3,0
0,1,-1,1/54,-1/6,1/6,0,0,0,0,-1/3,-1/12,1/6,0,0,1/3,1/12,-1/6,0
0,1,0,2/27,-2/3,0,0,0,0,0,0,-1/3,-1/3,0,0,-2/3,0,0,0
0,1,1,1/54,-1/6,-1/6,0,0,0,0,1/3,-1/12,1/6,0,0,1/3,-1/12,1/6,0
1,-1,-1,1/216,-1/12,-1/12,1/24,1/24,1/8,1/12,-1/12,-1/24,-1/24,1/8,1/12,-1/12,-1/24,-1/24,1/8
1,-1,0,1/54,-1/3,0,1/6,-1/12,0,1/3,0,-1/6,1/12,0,-1/6,1/6,0,0,0
1,-1,1,1/216,-1/12,1/12,1/24,1/24,-1/8,1/12,1/12,-1/24,-1/24,-1/8,1/12,-1/12,1/24,1/24,-1/8
1,0,-1,1/54,0,-1/3,-1/12,1/6,0,-1/6,1/6,0,0,0,1/3,0,-1/6,1/12,0
1,0,0,2/27,0,0,-1/3,-1/3,0,-2/3,0,0,0,0,-2/3,0,0,0,0
1,0,1,1/54,0,1/3,-1/12,1/6,0,-1/6,-1/6,0,0,0,1/3,0,1/6,-1/12,0
1,1,-1,1/216,1/12,-1/12,1/24,1/24,-1/8,1/12,-1/12,1/24,1/24,-1/8,1/12,1/12,-1/24,-1/24,-1/8
1,1,0,1/54,1/3,0,1/6,-1/12,0,1/3,0,1/6,-1/12,0,-1/6,-1/6,0,0,0
1,1,1,1/216,1/12,1/12,1/24,1/24,1/8,1/12,1/12,1/24,1/24,1/8,1/12,1/12,1/24,1/24,1/8
